id,title,artist,full_lyrics,reff_lyrics,emotion
63,dijual pada kompetitor,kunto aji,berbagi ide bisnis dengan partner. yang katanya akan bekerja sama. tapi ternyata dia jual informasi. ke perusahaan kompetitor. strategi rahasia yang kuceritakan. digunakan untuk menjatuhkanku. kesal dengan pengkhianatan. yang datang dari orang kepercayaan. . dijual pada kompetitor membuatku murka. geram dengan sikap licik partner. jengkel sudah dipercaya sepenuhnya. tapi dibalas dengan sabotase. muak dengan permainan kotor bisnis. dongkol ide dicuri begitu saja. dunia bisnis memang kejam. tidak ada teman sejati. sebel dengan kenaifanku. yang mudah percaya pada orang,dijual pada kompetitor membuatku murka. geram dengan sikap licik partner. jengkel sudah dipercaya sepenuhnya. tapi dibalas dengan sabotase. muak dengan permainan kotor bisnis. dongkol ide dicuri begitu saja,marah
64,mantan yang fitnah,judika,setelah putus dia menyebarkan fitnah. cerita bohong tentang hubungan kita. membuatku terlihat seperti orang jahat. di depan teman-teman dan keluarga. nama baikku jadi tercemar. karena kebohongan yang disebarkan. frustrasi dengan tindakan keji. yang dilakukan untuk balas dendam. . mantan yang fitnah membuatku marah. benci dengan sikap tidak dewasa. jengkel nama baik dicoreng. dengan cerita palsu yang menyakitkan. muak dengan tindakan balas dendam. kesal dengan drama yang berkepanjangan. putus cinta bukan alasan. untuk menghancurkan reputasi orang. dongkol dengan sifat jahat. yang tidak bisa move on dengan baik,mantan yang fitnah membuatku marah. benci dengan sikap tidak dewasa. jengkel nama baik dicoreng. dengan cerita palsu yang menyakitkan. muak dengan tindakan balas dendam. kesal dengan drama yang berkepanjangan,marah
65,kontrak yang dilanggar,ungu,sudah menandatangani kontrak jelas. dengan ketentuan yang disepakati. tapi pihak lain melanggar aturan. dengan alasan yang tidak masuk akal. pembayaran yang dijanjikan telat. fasilitas yang tidak sesuai. kesal dengan pelanggaran. yang merugikan dan merepotkan. . kontrak yang dilanggar membuatku murka. geram dengan sikap tidak profesional. jengkel janji ditepati sembarangan. muak dengan alasan yang dibuat-buat. dongkol sudah merasa tertipu. frustrasi dengan sistem yang kacau. hukum sepertinya tidak berlaku. untuk orang yang punya kuasa. sebel dengan ketidakadilan. yang selalu merugikan rakyat kecil,kontrak yang dilanggar membuatku murka. geram dengan sikap tidak profesional. jengkel janji ditepati sembarangan. muak dengan alasan yang dibuat-buat. dongkol sudah merasa tertipu. frustrasi dengan sistem yang kacau,marah
66,diskriminasi di tempat kerja,raisa,perlakuan berbeda karena gender. promosi selalu untuk yang laki-laki. meski kemampuan dan dedikasi sama. tetap dianggap sebagai nomor dua. gaji yang tidak setara. untuk pekerjaan yang sama persis. kesal dengan sistem patriarki. yang meremehkan kemampuan perempuan. . diskriminasi di tempat kerja membuatku murka. marah dengan ketidakadilan gender. jengkel diperlakukan tidak setara. meski performa kerja lebih baik. muak dengan standar ganda. geram dengan sistem yang bias. perempuan bukan kelas dua. yang layak diperlakukan seenaknya. dongkol dengan budaya toxic. yang masih mengakar di masyarakat,diskriminasi di tempat kerja membuatku murka. marah dengan ketidakadilan gender. jengkel diperlakukan tidak setara. meski performa kerja lebih baik. muak dengan standar ganda. geram dengan sistem yang bias,marah
67,korupsi yang merajalela,iwan fals,uang rakyat dikorupsi pejabat. untuk memperkaya diri sendiri. sementara rakyat hidup susah. tidak mendapat pelayanan layak. proyek pembangunan yang asal-asalan. karena anggarannya dimakan. frustrasi dengan ketidakadilan. yang merugikan masyarakat. . korupsi yang merajalela membuatku murka. benci dengan pejabat serakah. jengkel uang rakyat dicuri. untuk kepentingan pribadi. muak dengan sistem pemerintahan. geram dengan ketidakadilan sosial. rakyat yang menderita. karena ulah pemimpin yang tamak. dongkol dengan kemunafikan. yang bersembunyi di balik jabatan,korupsi yang merajalela membuatku murka. benci dengan pejabat serakah. jengkel uang rakyat dicuri. untuk kepentingan pribadi. muak dengan sistem pemerintahan. geram dengan ketidakadilan sosial,marah
68,bullying di sekolah,fiersa besari,setiap hari dibully teman sekelas. diejek karena penampilan berbeda. guru pura-pura tidak tahu. malah menyalahkan korban. fisik yang diserang setiap hari. mental yang hancur perlahan. kesal dengan ketidakpedulian. yang membiarkan intimidasi terjadi. . bullying di sekolah membuatku marah. benci dengan pelaku yang sadis. jengkel dengan sistem pendidikan. yang tidak melindungi muridnya. muak dengan pembiaran guru. geram dengan ketidakadilan perlakuan. sekolah seharusnya tempat aman. bukan arena untuk menyiksa. dongkol dengan mental pembully. yang menindas yang lebih lemah,bullying di sekolah membuatku marah. benci dengan pelaku yang sadis. jengkel dengan sistem pendidikan. yang tidak melindungi muridnya. muak dengan pembiaran guru. geram dengan ketidakadilan perlakuan,marah
69,pelecehan yang dibiarkan,isyana sarasvati,mengalami pelecehan di transportasi. tapi tidak ada yang peduli. malah disalahkan karena pakaian. seolah korban yang bersalah. laporan ke pihak berwajib. tidak ditanggapi dengan serius. frustrasi dengan victim blaming. yang memperburuk trauma korban. . pelecehan yang dibiarkan membuatku murka. marah dengan ketidakpedulian masyarakat. jengkel korban malah disalahkan. sistem hukum yang tidak berpihak. muak dengan budaya patriarki. geram dengan normalisasi kekerasan. perempuan bukan objek. yang bisa diperlakukan seenaknya. dongkol dengan mentalitas. yang menyalahkan korban bukan pelaku,pelecehan yang dibiarkan membuatku murka. marah dengan ketidakpedulian masyarakat. jengkel korban malah disalahkan. sistem hukum yang tidak berpihak. muak dengan budaya patriarki. geram dengan normalisasi kekerasan,marah
70,pelayanan publik yang buruk,efek rumah kaca,antri berjam-jam untuk urusan. yang seharusnya cepat selesai. petugas yang malas dan jutek. seolah kita yang berhutang budi. birokrasi yang berbelit-belit. minta ini itu tanpa jelas. kesal dengan pelayanan buruk. yang mempersulit hidup rakyat. . pelayanan publik yang buruk membuatku marah. benci dengan aparat yang tidak becus. jengkel dengan birokrasi ribet. yang menghabiskan waktu sia-sia. muak dengan sikap arogan petugas. geram dengan sistem yang kacau. rakyat yang bayar pajak. tapi dilayani seperti pengemis. dongkol dengan ketidakprofesionalan. yang sudah menjadi budaya,pelayanan publik yang buruk membuatku marah. benci dengan aparat yang tidak becus. jengkel dengan birokrasi ribet. yang menghabiskan waktu sia-sia. muak dengan sikap arogan petugas. geram dengan sistem yang kacau,marah
71,nepotisme yang merugikan,fourtwnty,posisi penting diberikan pada keluarga. meski tidak punya kompetensi. sementara yang qualified diabaikan. karena tidak punya koneksi. sistem merit yang diabaikan. demi kepentingan kelompok. frustrasi dengan praktik kotor. yang merugikan orang-orang jujur. . nepotisme yang merugikan membuatku murka. marah dengan sistem yang tidak fair. jengkel kemampuan tidak dihargai. yang penting punya backing kuat. muak dengan politik dinasti. geram dengan ketidakadilan struktural. indonesia tidak akan maju. kalau nepotisme masih merajalela. dongkol dengan budaya kkn. yang mengakar dalam sistem,nepotisme yang merugikan membuatku murka. marah dengan sistem yang tidak fair. jengkel kemampuan tidak dihargai. yang penting punya backing kuat. muak dengan politik dinasti. geram dengan ketidakadilan struktural,marah
72,dianggap remeh karena muda,reality club,ide dan pendapat selalu diabaikan. karena dianggap masih terlalu muda. padahal visi dan solusi jelas. tapi tidak diperhitungkan. senior yang sok tahu segalanya. padahal pemikirannya sudah basi. kesal dengan ageisme. yang menutup ruang untuk inovasi. . dianggap remeh karena muda membuatku marah. benci dengan stereotip usia. jengkel kemampuan dinilai dari umur. bukan dari kualitas ide. muak dengan senioritas yang toxic. geram dengan close-mindedness. usia muda bukan berarti bodoh. atau tidak berpengalaman. dongkol dengan diskriminasi. yang menghalangi kontribusi positif,dianggap remeh karena muda membuatku marah. benci dengan stereotip usia. jengkel kemampuan dinilai dari umur. bukan dari kualitas ide. muak dengan senioritas yang toxic. geram dengan close-mindedness,marah
73,rasisme terselubung,danilla,diperlakukan berbeda karena etnis. dengan dalih bercanda atau budaya. tapi rasa sakitnya sangat nyata. dan trauma yang ditinggalkan. stereotype yang menyakitkan. ditempelkan tanpa alasan jelas. frustrasi dengan prasangka. yang mengkotak-kotakkan manusia. . rasisme terselubung membuatku murka. marah dengan prejudis yang mengakar. jengkel dengan joke yang menyakitkan. yang dinormalisasi oleh masyarakat. muak dengan stereotip negatif. geram dengan diskriminasi halus. semua manusia diciptakan setara. tidak ada yang lebih unggul. dongkol dengan ignoransi. yang mempertahankan kebencian,rasisme terselubung membuatku murka. marah dengan prejudis yang mengakar. jengkel dengan joke yang menyakitkan. yang dinormalisasi oleh masyarakat. muak dengan stereotip negatif. geram dengan diskriminasi halus,marah
74,kesenjangan ekonomi,payung teduh,yang kaya semakin kaya. yang miskin tambah melarat. sistem ekonomi yang timpang. hanya menguntungkan segelintir orang. pekerja keras sepanjang hari. tapi gaji tidak cukup hidup. kesal dengan ketimpangan. yang semakin lebar menganga. . kesenjangan ekonomi membuatku marah. benci dengan sistem kapitalis yang kejam. jengkel orang kaya serakah. tidak mau berbagi dengan yang membutuhkan. muak dengan ketidakadilan distribusi. geram dengan kemiskinan struktural. negara gagal melindungi rakyat. dari cengkeraman para pemodal. dongkol dengan kebijakan. yang hanya menguntungkan yang berkuasa,kesenjangan ekonomi membuatku marah. benci dengan sistem kapitalis yang kejam. jengkel orang kaya serakah. tidak mau berbagi dengan yang membutuhkan. muak dengan ketidakadilan distribusi. geram dengan kemiskinan struktural,marah
75,kekerasan dalam rumah tangga,teza sumendra,istri yang dipukuli suami. anak yang dianiaya orangtua. tapi dianggap urusan domestik. yang tidak boleh dicampuri. korban yang melapor. malah disuruh sabar dan mengalah. frustrasi dengan budaya. yang menormalisasi kekerasan. . kekerasan dalam rumah tangga membuatku murka. marah dengan pembiaran masyarakat. jengkel korban tidak dilindungi. malah disalahkan dan dikucilkan. muak dengan budaya patriarki. geram dengan victim blaming. rumah seharusnya tempat aman. bukan arena untuk menyiksa. dongkol dengan ketidakpedulian. yang membiarkan kekerasan terjadi,kekerasan dalam rumah tangga membuatku murka. marah dengan pembiaran masyarakat. jengkel korban tidak dilindungi. malah disalahkan dan dikucilkan. muak dengan budaya patriarki. geram dengan victim blaming,marah
76,hukum tumpul ke atas,superman is dead,orang miskin mencuri karena lapar. dihukum berat masuk penjara. orang kaya korupsi milyaran. hukumannya ringan bahkan bebas. keadilan yang tidak merata. tergantung status dan kekuasaan. kesal dengan sistem hukum. yang pilih kasih dan tidak adil. . hukum tumpul ke atas membuatku marah. benci dengan ketidakadilan peradilan. jengkel keadilan bisa dibeli. dengan uang dan pengaruh. muak dengan diskriminasi hukum. geram dengan korupsi sistem. indonesia darurat keadilan. karena hukum tidak berpihak pada rakyat. dongkol dengan kemunafikan. yang mengatasnamakan keadilan,hukum tumpul ke atas membuatku marah. benci dengan ketidakadilan peradilan. jengkel keadilan bisa dibeli. dengan uang dan pengaruh. muak dengan diskriminasi hukum. geram dengan korupsi sistem,marah
77,penindasan buruh,slank,jam kerja yang melebihi batas. gaji di bawah upah minimum. tidak ada jaminan kesehatan. apalagi hak untuk berorganisasi. demonstrasi untuk menuntut hak. malah dicap sebagai pengacau. frustrasi dengan sistem. yang tidak melindungi pekerja. . penindasan buruh membuatku murka. marah dengan kapitalisme yang kejam. jengkel buruh dianggap mesin. yang bisa dieksploitasi seenaknya. muak dengan ketidakadilan upah. geram dengan sistem yang menindas. buruh yang membangun negara. tapi diperlakukan seperti budak. dongkol dengan ketidakpedulian. pemerintah pada nasib rakyat,penindasan buruh membuatku murka. marah dengan kapitalisme yang kejam. jengkel buruh dianggap mesin. yang bisa dieksploitasi seenaknya. muak dengan ketidakadilan upah. geram dengan sistem yang menindas,marah
78,media yang manipulatif,barasuara,berita yang diputarbalikkan. untuk kepentingan politik. masyarakat dibohongi. dengan informasi yang salah. jurnalisme yang tidak netral. hanya melayani penguasa. kesal dengan manipulasi. yang menyesatkan publik. . media yang manipulatif membuatku marah. benci dengan propaganda terselubung. jengkel kebenaran disembunyikan. demi kepentingan segelintir elite. muak dengan pemberitaan bias. geram dengan disinformasi massal. media seharusnya mencerdaskan. bukan menjadi alat penindas. dongkol dengan degradasi. fungsi pers sebagai pilar demokrasi,media yang manipulatif membuatku marah. benci dengan propaganda terselubung. jengkel kebenaran disembunyikan. demi kepentingan segelintir elite. muak dengan pemberitaan bias. geram dengan disinformasi massal,marah
79,pendidikan yang mahal,maliq d'essentials,biaya pendidikan yang melangit. tidak terjangkau oleh rakyat. anak cerdas tidak bisa sekolah. karena orangtua tidak mampu. sistem yang memonopoli ilmu. hanya untuk kalangan berada. frustrasi dengan komersialisasi. yang menghalangi akses pendidikan. . pendidikan yang mahal membuatku murka. marah dengan komersialisasi ilmu. jengkel anak pintar putus sekolah. karena ketidakmampuan finansial. muak dengan sistem yang ekslusif. geram dengan diskriminasi pendidikan. pendidikan adalah hak dasar. bukan privilege untuk orang kaya. dongkol dengan kebijakan. yang mempersulit akses rakyat miskin,pendidikan yang mahal membuatku murka. marah dengan komersialisasi ilmu. jengkel anak pintar putus sekolah. karena ketidakmampuan finansial. muak dengan sistem yang ekslusif. geram dengan diskriminasi pendidikan,marah
80,lingkungan yang dirusak,navicula,hutan dibabat habis untuk perkebunan. sungai tercemar limbah pabrik. udara kotor karena asap kendaraan. demi keuntungan sesaat. generasi mendatang yang menanggung. akibat kerusakan lingkungan. kesal dengan keserakahan. yang mengorbankan masa depan. . lingkungan yang dirusak membuatku marah. benci dengan keserakahan perusahaan. jengkel pemerintah tidak tegas. melindungi alam dari eksploitasi. muak dengan orientasi profit. geram dengan ketidakpedulian lingkungan. bumi adalah warisan. yang harus dijaga untuk anak cucu. dongkol dengan mentalitas. yang hanya memikirkan keuntungan jangka pendek,lingkungan yang dirusak membuatku marah. benci dengan keserakahan perusahaan. jengkel pemerintah tidak tegas. melindungi alam dari eksploitasi. muak dengan orientasi profit. geram dengan ketidakpedulian lingkungan,marah
81,macet yang tidak ada habisnya,jason ranti,setiap hari terjebak macet. waktu terbuang di jalan raya. sudah bangun pagi-pagi. tapi tetap sampai terlambat. kendaraan tidak bergerak. berjam-jam dalam kemacetan. kesal dengan situasi. yang membuang waktu berharga. . macet yang tidak ada habisnya bikin dongkol. jengkel dengan transportasi kacau. muak dengan infrastruktur buruk. yang membuat hidup susah. sebel dengan waktu terbuang. frustrasi dengan sistem yang tidak becus. hidup seperti terjebak. dalam lingkaran setan kemacetan. geram dengan ketidakefisienan. yang memperburuk kualitas hidup,macet yang tidak ada habisnya bikin dongkol. jengkel dengan transportasi kacau. muak dengan infrastruktur buruk. yang membuat hidup susah. sebel dengan waktu terbuang. frustrasi dengan sistem yang tidak becus,marah
82,internet yang lemot,adhitia sofyan,loading yang tidak selesai-selesai. video yang buffering terus. meeting online yang putus-putus. deadline yang semakin dekat. sudah bayar mahal untuk paket. tapi kualitas tidak sesuai. kesal dengan layanan buruk. yang menghambat pekerjaan. . internet yang lemot bikin kesal banget. jengkel dengan provider yang tidak becus. muak dengan janji kecepatan tinggi. yang ternyata cuma iklan palsu. dongkol dengan gangguan terus-menerus. frustrasi dengan teknologi yang mundur. zaman digital tapi koneksi primitif. bagaimana mau maju kalau begini. sebel dengan infrastruktur. yang tidak mendukung produktivitas,internet yang lemot bikin kesal banget. jengkel dengan provider yang tidak becus. muak dengan janji kecepatan tinggi. yang ternyata cuma iklan palsu. dongkol dengan gangguan terus-menerus. frustrasi dengan teknologi yang mundur,marah
83,gagal terus menerus,petra sihombing,sudah mencoba berbagai cara. tapi hasilnya tetap mengecewakan. seperti ada kutukan. yang menghalangi kesuksesan. setiap usaha selalu mentok. di tengah jalan ada halangan. frustrasi dengan kegagalan. yang berulang tanpa henti. . gagal terus menerus membuatku marah. benci dengan nasib yang sial. jengkel dengan usaha yang sia-sia. meski sudah memberikan segalanya. muak dengan pattern kegagalan. dongkol dengan ketidakberuntungan. seperti dipermainkan takdir. yang selalu menutup jalan sukses. geram dengan ketidakadilan. yang membuat hidup stagnan,gagal terus menerus membuatku marah. benci dengan nasib yang sial. jengkel dengan usaha yang sia-sia. meski sudah memberikan segalanya. muak dengan pattern kegagalan. dongkol dengan ketidakberuntungan,marah
84,antrian yang panjang,geisha,mengantri berjam-jam untuk dilayani. nomor urut yang tidak bergerak. petugas yang lambat dan malas. seolah waktu kita tidak berharga. sistem yang tidak efisien. membuat antrian mengular panjang. kesal dengan pelayanan buruk. yang tidak menghargai customer. . antrian yang panjang bikin dongkol. jengkel dengan sistem yang kacau. muak dengan petugas yang lambat. yang tidak profesional dalam bekerja. sebel dengan waktu terbuang. frustrasi dengan birokrasi ribet. hidup sudah susah. masih dipersulit dengan antrian. geram dengan ketidakefisienan. yang menghabiskan energy,antrian yang panjang bikin dongkol. jengkel dengan sistem yang kacau. muak dengan petugas yang lambat. yang tidak profesional dalam bekerja. sebel dengan waktu terbuang. frustrasi dengan birokrasi ribet,marah
85,uang yang tidak cukup,vidi aldiano,setiap bulan uang selalu kurang. tagihan lebih besar dari gaji. mimpi yang tidak bisa tercapai. karena keterbatasan finansial. sudah berhemat semaksimal mungkin. tapi tetap tidak cukup untuk hidup. frustrasi dengan kemiskinan. yang menghalangi semua rencana. . uang yang tidak cukup membuatku marah. benci dengan kemiskinan yang membelenggu. jengkel dengan harga yang melambung. sementara gaji tetap segitu. muak dengan sistem ekonomi. dongkol dengan ketimpangan upah. bekerja keras siang malam. tapi hidup tetap pas-pasan. sebel dengan realita sosial. yang membuat orang susah berkembang,uang yang tidak cukup membuatku marah. benci dengan kemiskinan yang membelenggu. jengkel dengan harga yang melambung. sementara gaji tetap segitu. muak dengan sistem ekonomi. dongkol dengan ketimpangan upah,marah
86,komputer yang ngehang,rendy pandugo,blue screen of death muncul lagi. file penting belum disimpan. deadline yang sudah mepet. tapi komputer malah error. restart berkali-kali tidak mempan. virus yang menginfeksi sistem. kesal dengan teknologi. yang selalu bermasalah saat penting. . komputer yang ngehang bikin kesal. jengkel dengan timing yang buruk. muak dengan error terus-menerus. yang menghambat pekerjaan penting. dongkol dengan file yang hilang. frustrasi dengan backup yang lupa. technology should make life easier. bukan malah mempersulit urusan. sebel dengan ketergantungan. pada gadget yang tidak reliable,komputer yang ngehang bikin kesal. jengkel dengan timing yang buruk. muak dengan error terus-menerus. yang menghambat pekerjaan penting. dongkol dengan file yang hilang. frustrasi dengan backup yang lupa,marah
87,cuaca yang tidak mendukung,teddy adhitya,rencana outdoor sudah matang. tapi hujan turun deras. acara yang sudah disiapkan. terpaksa dibatalkan. cuaca yang tidak bisa diprediksi. selalu merusak rencana. frustrasi dengan alam. yang tidak kooperatif. . cuaca yang tidak mendukung bikin dongkol. jengkel dengan hujan yang tidak tepat waktu. muak dengan panas yang menyengat. saat harus beraktivitas outdoor. sebel dengan planning yang berantakan. kesal dengan force majeure. manusia merencanakan. tapi alam yang menentukan. geram dengan ketidakberdayaan. menghadapi kekuatan alam,cuaca yang tidak mendukung bikin dongkol. jengkel dengan hujan yang tidak tepat waktu. muak dengan panas yang menyengat. saat harus beraktivitas outdoor. sebel dengan planning yang berantakan. kesal dengan force majeure,marah
88,atm yang selalu rusak,andmesh kamaleng,butuh uang mendesak. tapi atm tidak berfungsi. kartu tertelan mesin. saldo hilang entah kemana. service center yang susah dihubungi. customer service yang tidak responsif. kesal dengan layanan perbankan. yang tidak bisa diandalkan. . atm yang selalu rusak bikin marah. jengkel dengan teknologi banking. muak dengan gangguan sistem. yang merugikan nasabah. dongkol dengan response time lambat. frustrasi dengan pelayanan buruk. simpan uang di bank katanya aman. tapi akses sulit dan ribet. sebel dengan modernisasi. yang malah mempersulit hidup,atm yang selalu rusak bikin marah. jengkel dengan teknologi banking. muak dengan gangguan sistem. yang merugikan nasabah. dongkol dengan response time lambat. frustrasi dengan pelayanan buruk,marah
89,parkir yang sulit,vira talisa,keliling-keliling cari tempat parkir. tapi semua sudah penuh. waktu meeting semakin dekat. stres karena tidak ada slot. parkir liar kena tilang. parkir resmi mahal banget. frustrasi dengan urban planning. yang tidak mempertimbangkan kendaraan. . parkir yang sulit bikin dongkol. jengkel dengan tata kota yang buruk. muak dengan biaya parkir mahal. yang menguras kantong setiap hari. sebel dengan waktu terbuang. kesal dengan stress yang tidak perlu. kota besar tapi tidak smart. dalam perencanaan infrastruktur. geram dengan ketidaknyamanan. yang dialami setiap hari,parkir yang sulit bikin dongkol. jengkel dengan tata kota yang buruk. muak dengan biaya parkir mahal. yang menguras kantong setiap hari. sebel dengan waktu terbuang. kesal dengan stress yang tidak perlu,marah
90,sinyal yang hilang,niki zefanya,lagi video call penting. tiba-tiba sinyal hilang. presentasi yang terganggu. karena koneksi yang putus. emergency call tidak masuk. gps yang error di jalan. kesal dengan provider. yang tidak reliable coverage-nya. . sinyal yang hilang bikin frustasi. jengkel dengan jaringan yang lemah. muak dengan dead zone dimana-mana. di era digital malah mundur. dongkol dengan tagihan mahal. sebel dengan layanan yang buruk. technology advancement katanya. tapi basic service tidak becus. geram dengan ketergantungan. pada teknologi yang tidak stabil,sinyal yang hilang bikin frustasi. jengkel dengan jaringan yang lemah. muak dengan dead zone dimana-mana. di era digital malah mundur. dongkol dengan tagihan mahal. sebel dengan layanan yang buruk,marah
91,manipulator ulung,yura yunita,dia ahli memutar balikkan fakta. membuatku merasa bersalah. padahal dia yang berbuat salah. tapi aku yang disalahkan. gaslighting yang dilakukan terus. membuat kepercayaan diriku hilang. kesal dengan permainan mental. yang menyiksa psikologis. . manipulator ulung membuatku murka. benci dengan taktik psikologis kotor. jengkel dengan mind games yang dimainkan. muak dengan emotional abuse. geram dengan kontrol yang berlebihan. dongkol dengan toxic behavior. hubungan yang harusnya sehat. malah jadi arena perang psikologis. frustrasi dengan pola toxic. yang merusak mental health,manipulator ulung membuatku murka. benci dengan taktik psikologis kotor. jengkel dengan mind games yang dimainkan. muak dengan emotional abuse. geram dengan kontrol yang berlebihan. dongkol dengan toxic behavior,marah
92,narcissist yang egois,pamungkas,segala sesuatu harus tentang dia. tidak pernah mendengarkan orang lain. empati yang nol besar. hanya mementingkan diri sendiri. tidak bisa menerima kritik. selalu merasa yang paling benar. frustrasi dengan egoisme. yang tidak mengenal batas. . narcissist yang egois membuatku marah. benci dengan self-centered attitude. jengkel dengan lack of empathy. muak dengan superiority complex. geram dengan entitlement berlebihan. dongkol dengan victim mentality. hubungan one-sided yang melelahkan. dimana aku selalu yang mengalah. sebel dengan drama queen behavior. yang menguras energi mental,narcissist yang egois membuatku marah. benci dengan self-centered attitude. jengkel dengan lack of empathy. muak dengan superiority complex. geram dengan entitlement berlebihan. dongkol dengan victim mentality,marah
93,frenemy yang menyebalkan,.feast,di depan bersikap baik dan supportif. di belakang menyebar gossip jahat. fake friend yang berbahaya. lebih toxic daripada musuh. kompetisi tidak sehat yang diciptakan. selalu ingin lebih unggul. kesal dengan kedok pertemanan. yang menyembunyikan kebencian. . frenemy yang menyebalkan membuatku murka. benci dengan two-faced behavior. jengkel dengan passive aggressive attitude. muak dengan fake support. geram dengan backstabbing tendency. dongkol dengan competitive toxicity. pertemanan yang penuh drama. dan full of hidden agenda. frustrasi dengan energy vampire. yang menguras positivity,frenemy yang menyebalkan membuatku murka. benci dengan two-faced behavior. jengkel dengan passive aggressive attitude. muak dengan fake support. geram dengan backstabbing tendency. dongkol dengan competitive toxicity,marah
94,controlling partner,ardhito pramono,mengatur siapa yang boleh kutemui. mengecek hp dan social media. cemburu berlebihan tanpa alasan. membatasi kebebasan pribadi. isolasi dari teman dan keluarga. agar hanya bergantung padanya. frustrasi dengan possessiveness. yang menyesakkan ruang gerak. . controlling partner membuatku marah. benci dengan obsessive behavior. jengkel dengan invasion of privacy. muak dengan jealousy yang toxic. geram dengan emotional prison. dongkol dengan manipulation tactics. cinta bukan berarti memiliki. atau mengontrol hidup pasangan. sebel dengan insecurity. yang diproyeksikan pada orang lain,controlling partner membuatku marah. benci dengan obsessive behavior. jengkel dengan invasion of privacy. muak dengan jealousy yang toxic. geram dengan emotional prison. dongkol dengan manipulation tactics,marah
95,guilt tripper profesional,elephant kind,selalu membuatku merasa bersalah. untuk hal-hal yang bukan kesalahanku. master of emotional blackmail. yang ahli bermain dengan perasaan. korban yang selalu menyalahkan. tanpa pernah introspeksi diri. kesal dengan victim mentality. yang digunakan untuk manipulasi. . guilt tripper profesional membuatku murka. benci dengan emotional manipulation. jengkel dengan blame shifting behavior. muak dengan victim card yang dimainkan. geram dengan responsibility avoidance. dongkol dengan toxic guilt. hubungan yang toxic dan draining. dimana aku selalu yang salah. frustrasi dengan pattern yang berulang. yang mengikis kepercayaan diri,guilt tripper profesional membuatku murka. benci dengan emotional manipulation. jengkel dengan blame shifting behavior. muak dengan victim card yang dimainkan. geram dengan responsibility avoidance. dongkol dengan toxic guilt,marah
96,attention seeker,marion jola,segala cara dilakukan untuk jadi pusat perhatian. drama yang diciptakan setiap hari. tidak bisa hidup tanpa spotlight. hidup seperti reality show. mengekspos privasi untuk konten. tanpa memikirkan perasaan orang lain. frustrasi dengan narcissistic tendency. yang mengeksploitasi hubungan. . attention seeker membuatku marah. benci dengan performative behavior. jengkel dengan fake crisis yang diciptakan. muak dengan drama addiction. geram dengan exploitation of emotions. dongkol dengan desperate validation seeking. kehidupan pribadi jadi public show. demi likes dan followers. sebel dengan superficiality. yang mengabaikan authentic connection,attention seeker membuatku marah. benci dengan performative behavior. jengkel dengan fake crisis yang diciptakan. muak dengan drama addiction. geram dengan exploitation of emotions. dongkol dengan desperate validation seeking,marah
97,energy vampire,hindia,selalu complaining tanpa solusi. menguras energi dengan negativity. tidak pernah ada kabar baik. hanya masalah dan keluhan. menyedot positivity dari sekitar. seperti black hole emosional. kesal dengan pesimisme kronis. yang menular ke orang lain. . energy vampire membuatku murka. benci dengan constant negativity. jengkel dengan victim mentality. muak dengan draining conversations. geram dengan emotional parasitism. dongkol dengan toxic pessimism. hidup sudah cukup challenging. tidak perlu ditambah dengan negativity. frustrasi dengan orang yang toxic. yang menguras mental energy,energy vampire membuatku murka. benci dengan constant negativity. jengkel dengan victim mentality. muak dengan draining conversations. geram dengan emotional parasitism. dongkol dengan toxic pessimism,marah
98,passive aggressive,kunto aji,tidak pernah jelas mengungkapkan kemarahan. menyimpan dendam dalam silence. sarcasm dan sindir-sindiran halus. yang menyakitkan tapi sulit diproves. sabotase yang dilakukan diam-diam. cold treatment yang berkepanjangan. frustrasi dengan komunikasi tidak sehat. yang menghindari konfrontasi langsung. . passive aggressive membuatku marah. benci dengan indirect communication. jengkel dengan hidden anger. muak dengan emotional withdrawal. geram dengan silent treatment. dongkol dengan covert hostility. lebih baik marah terang-terangan. daripada toxic passive behavior. sebel dengan mind reading expectation. yang membuat hubungan rumit,passive aggressive membuatku marah. benci dengan indirect communication. jengkel dengan hidden anger. muak dengan emotional withdrawal. geram dengan silent treatment. dongkol dengan covert hostility,marah
99,emotional abuser,dea mirella,kata-kata yang melukai setiap hari. menghancurkan self-esteem secara perlahan. verbal assault yang meninggalkan trauma. lebih sakit dari physical abuse. put-down dan insulting behavior. yang dibungkus sebagai joke. kesal dengan cruelty yang terselubung. yang merusak kesehatan mental. . emotional abuser membuatku murka. benci dengan verbal violence. jengkel dengan psychological torture. muak dengan systematic degradation. geram dengan emotional terrorism. dongkol dengan mental cruelty. words can kill slowly. meninggalkan luka yang tidak terlihat. frustrasi dengan normalization. of emotional abuse in relationships,emotional abuser membuatku murka. benci dengan verbal violence. jengkel dengan psychological torture. muak dengan systematic degradation. geram dengan emotional terrorism. dongkol dengan mental cruelty,marah
